@RELATION svm_amlo_v1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {amlo,not_amlo}

@DATA
0.039501,0.011566,3.042468,0.086695,0.131872,0.245844,0.008825,0.060858,-25.249349,2.041870,-0.431909,-0.046710,-0.252798,0.034357,-0.104454,0.070819,0.045742,-0.010498,-0.064617,-0.026309,-0.073115,0.017523,0.011128,0.025631,0.014686,0.022915,0.013983,0.021449,0.004826,0.010184,0.015326,0.022493,0.009802,0.017191,0.017341,0.013600,0.244102,0.024631,0.032764,0.213347,0.005466,0.033058,1.362639,0.657793,0.486926,0.447949,0.306334,0.301854,0.246246,0.257214,0.213776,0.213766,0.209001,0.220029,0.209389,0.017199,0.013729,0.019738,0.014193,0.019155,0.014320,0.017012,0.007170,0.011041,0.012639,0.017053,0.010665,0.007608,amlo
0.042871,0.001802,3.008046,0.121034,0.170398,0.309926,0.015538,0.061915,-30.287559,2.401629,0.564141,0.387682,-0.122870,0.266095,0.066673,0.157007,0.073829,0.059389,0.049895,0.110051,-0.064969,0.015753,0.003638,0.040949,0.007120,0.017919,0.007675,0.070902,0.001418,0.007005,0.021059,0.052564,0.006635,0.036181,0.042898,0.002373,0.249302,0.047900,0.030493,0.409657,0.010511,0.077907,2.766153,0.797981,0.725559,0.569298,0.541829,0.408784,0.334997,0.306121,0.265008,0.248155,0.239830,0.240442,0.248297,0.022733,0.006742,0.039816,0.011737,0.019260,0.013126,0.065522,0.002852,0.012012,0.023267,0.044645,0.012208,0.017835,amlo
0.028400,0.001643,2.971752,0.098681,0.167317,0.120701,0.012654,0.028650,-31.030293,3.191060,-0.051180,0.077921,0.068597,0.189592,0.055711,0.130547,0.057550,0.047056,-0.030697,0.054927,-0.016279,0.018000,0.005606,0.053425,0.015077,0.036328,0.009951,0.050975,0.002885,0.007657,0.016507,0.037532,0.005594,0.028998,0.015469,0.002172,0.250413,0.026043,0.026144,0.135006,0.008713,0.022280,1.593145,0.510939,0.512547,0.394419,0.301344,0.242370,0.202261,0.209670,0.182546,0.175920,0.154249,0.158111,0.149174,0.018209,0.008204,0.034687,0.015067,0.022804,0.011901,0.036726,0.005316,0.009754,0.015620,0.028936,0.008241,0.009539,amlo
0.057092,0.002401,3.136166,0.121245,0.155516,0.427254,0.006508,0.090114,-27.105595,1.624482,-0.001089,0.424179,-0.198599,0.080030,-0.022422,0.198942,-0.133735,-0.021060,-0.012452,0.121870,-0.070975,0.013549,0.006476,0.030023,0.018474,0.019001,0.010697,0.038696,0.003392,0.009963,0.014146,0.034754,0.005293,0.020585,0.032209,0.003301,0.140386,0.035097,0.022792,0.344071,0.004449,0.061669,1.108824,0.466980,0.508143,0.346568,0.300014,0.265662,0.233597,0.242866,0.194220,0.202443,0.196384,0.183495,0.184127,0.014219,0.009155,0.021504,0.017314,0.017528,0.012962,0.028482,0.004944,0.010945,0.013845,0.027896,0.007099,0.008510,amlo
0.110648,0.001411,3.120356,0.181459,0.187579,0.797102,0.006622,0.187371,-29.579858,1.608512,-0.194621,0.398729,-0.119673,0.093219,0.144928,0.044948,0.112171,0.024711,0.079631,0.019165,-0.023677,0.013504,0.006469,0.026041,0.008644,0.018342,0.008786,0.036545,0.003894,0.007495,0.016839,0.024210,0.006501,0.020685,0.055604,0.001910,0.222418,0.042785,0.017026,0.527405,0.005554,0.132005,1.774247,0.810045,0.558096,0.404162,0.414413,0.308585,0.252052,0.263941,0.219569,0.211318,0.201622,0.204120,0.204272,0.017309,0.009263,0.025220,0.011145,0.020528,0.011362,0.031583,0.005886,0.009674,0.019103,0.023941,0.008972,0.010851,amlo
0.037993,0.003748,3.075475,0.116984,0.171963,0.247641,0.009220,0.047806,-28.155116,2.468296,0.460738,0.464596,-0.112844,0.269026,0.023405,-0.005513,-0.066805,-0.025905,0.021725,0.098987,-0.038626,0.018285,0.002694,0.059398,0.015070,0.026796,0.011363,0.082110,0.001761,0.007348,0.015610,0.042602,0.002728,0.036505,0.026405,0.002017,0.130559,0.036169,0.024437,0.280553,0.005263,0.052804,1.051235,0.452203,0.493244,0.325130,0.317574,0.280844,0.253685,0.247902,0.213254,0.194242,0.185173,0.180996,0.164160,0.015859,0.004245,0.038320,0.016580,0.023123,0.015661,0.052474,0.003352,0.009837,0.011607,0.030233,0.003235,0.012468,amlo
0.044241,0.020592,3.001886,0.105026,0.150183,0.287524,0.015702,0.064078,-25.889321,2.278188,-0.727930,-0.497019,-0.335547,-0.125658,0.074900,0.064075,-0.006727,0.121858,0.062408,-0.073800,-0.112401,0.018135,0.011418,0.021116,0.014336,0.011185,0.011474,0.019243,0.004984,0.009962,0.015431,0.020638,0.019162,0.021026,0.038267,0.027790,0.341954,0.041370,0.032475,0.401781,0.014466,0.066876,1.917624,0.633204,0.646442,0.553284,0.416214,0.376403,0.332939,0.295977,0.270716,0.248924,0.263647,0.277076,0.281095,0.022633,0.019111,0.020966,0.020363,0.013033,0.014553,0.022063,0.009868,0.014220,0.017564,0.023408,0.025225,0.010949,amlo
0.024343,0.010769,3.090803,0.085371,0.148741,0.118692,0.010446,0.029543,-27.873045,3.178951,0.362379,0.090032,-0.246828,0.136618,0.072260,0.067070,0.065849,0.041407,0.038167,0.038165,-0.044557,0.017821,0.006542,0.041260,0.011962,0.037204,0.012234,0.047524,0.002105,0.008404,0.025725,0.030791,0.006653,0.028795,0.014186,0.011782,0.168191,0.027201,0.034176,0.141379,0.006270,0.024208,2.237150,0.514831,0.561600,0.337981,0.363223,0.302095,0.264460,0.255412,0.219856,0.207431,0.190722,0.185846,0.171958,0.018329,0.009193,0.032422,0.011540,0.028438,0.012761,0.034898,0.003188,0.009018,0.021759,0.025332,0.007958,0.009765,amlo
0.054192,0.002671,3.007394,0.132414,0.174332,0.350843,0.013122,0.063178,-30.067640,2.303808,0.431643,0.435629,-0.026108,-0.031021,0.055316,0.168338,0.086729,0.014076,0.047568,0.085180,-0.137271,0.016399,0.005290,0.039127,0.008547,0.019953,0.006414,0.067914,0.001063,0.007568,0.018926,0.047328,0.008451,0.035263,0.039892,0.003755,0.265654,0.040712,0.028990,0.368620,0.009056,0.072263,2.999393,0.830605,0.688584,0.622351,0.499791,0.395905,0.312390,0.309633,0.274424,0.250139,0.248129,0.250658,0.260312,0.022169,0.009911,0.038644,0.013238,0.021464,0.010377,0.065392,0.001755,0.013372,0.021173,0.042636,0.015310,0.017619,amlo
0.025726,0.046743,3.087300,0.080519,0.137572,0.119796,0.009210,0.036427,-22.834082,2.246295,-0.218400,0.516563,0.028646,0.331565,0.152461,0.338516,0.118680,0.104620,0.015132,0.035291,-0.035529,0.011851,0.006709,0.064148,0.007366,0.023623,0.005827,0.073434,0.002421,0.004471,0.015479,0.048760,0.005728,0.033344,0.008385,0.026031,0.123359,0.021471,0.034259,0.082900,0.005085,0.016407,0.741732,0.313272,0.323682,0.342536,0.268180,0.247246,0.210688,0.222223,0.185658,0.193713,0.181247,0.184623,0.187326,0.011427,0.011577,0.035987,0.007687,0.017708,0.006946,0.046580,0.003965,0.005462,0.013820,0.032827,0.006925,0.010953,amlo
0.026073,0.048792,3.152373,0.096108,0.161361,0.139337,0.009370,0.032320,-24.162435,2.459610,0.039041,0.380138,0.140788,0.253482,0.155058,0.195159,0.076538,-0.038223,-0.064412,0.075500,0.083504,0.008772,0.002213,0.031595,0.009026,0.044385,0.004150,0.119728,0.000799,0.002950,0.007465,0.049419,0.004486,0.042541,0.011198,0.020530,0.106665,0.023840,0.029804,0.090743,0.007482,0.017027,0.834157,0.354564,0.277214,0.263496,0.265613,0.240676,0.262229,0.241436,0.213483,0.227541,0.224723,0.199318,0.188004,0.008604,0.002665,0.019979,0.008180,0.029689,0.004799,0.068232,0.000803,0.002765,0.006484,0.031952,0.004690,0.017224,not_amlo
0.028450,0.024439,3.212551,0.071375,0.116833,0.151168,0.006132,0.041652,-28.205557,2.109083,-0.643503,0.288976,-0.174177,0.010917,-0.012152,0.037281,-0.036666,0.081840,0.007574,-0.105029,-0.002565,0.032683,0.028755,0.015732,0.004350,0.041238,0.021475,0.027972,0.001952,0.003002,0.009471,0.023682,0.007216,0.026406,0.006684,0.010858,0.089832,0.019025,0.029618,0.057147,0.006863,0.010741,0.940844,0.329687,0.270245,0.250774,0.173906,0.209879,0.195344,0.166189,0.204117,0.174197,0.167189,0.181019,0.150050,0.022537,0.023292,0.012567,0.004386,0.013005,0.013529,0.017491,0.001498,0.002545,0.007439,0.013990,0.007038,0.006035,not_amlo
0.063566,0.013047,3.085580,0.112108,0.119733,0.651338,0.006786,0.113445,-29.983191,1.235133,0.367075,0.267880,0.090180,0.352964,0.075375,0.134465,0.047773,0.108392,0.075338,-0.033921,0.098350,0.006389,0.001703,0.047345,0.004844,0.054583,0.002531,0.067912,0.001017,0.003036,0.005714,0.030669,0.003184,0.036745,0.018212,0.008368,0.177021,0.021824,0.025825,0.189226,0.014467,0.033118,1.653579,0.362966,0.206372,0.204182,0.199497,0.175850,0.159368,0.160436,0.149280,0.152337,0.143656,0.134973,0.137360,0.005696,0.001661,0.029925,0.004388,0.022180,0.002203,0.036308,0.000831,0.002539,0.004625,0.020200,0.002765,0.010328,not_amlo
